title,company,date,location,categories,viewers,text
Colegio Saco Oliveros (Belisario) un fraude!!,Colegio Saco Oliveros,2008-03-26,"San Juan de Miraflores,Lima","Educación y Formación,Colegios, Escuelas y Academias",13920," Como en anterior queja publicada, a estos tiempos se corroborra lo expresado: el saco oliveros (belisario) es un fraude. No a ingresado ningun alumno a la UNMSM, Agraria ni UNI. Donde quedó el sistema helicoidal?. Solo es una institución educativa del montón, cuya única finalidad es hacer dinero. Nada más. Amén de tener en su plana docente profesores mediocres y amorales? Cuidado vecinos de San Juan no vayan a caer en ese bodrio de colegio!"
"Quality Products, un abuso",Quality Products,2008-03-19,"Lima,Lima","Productos,Varios",63141," Hace un mes compre un producto en Quality Products llamado faja vibrotermica, lo use por un dia y me salieron ampollas en todo el abdomen, tuve que ir al medico para que me recetara algo para el dolor y para bajar la inflamacion, la semana pasada fui a que me devuelvan el dinero y me dijeron que tenia que esperar hasta la proxima para que me den un cheque con mi plara... quien me devuelve los pasajes de ida hasta miraflores cuando yo vivo en los olivos?, ademas la persona que me atendio, si se le puede decir persona, porque me trato mal desde que me vio, una tal Diana Gonzales, que para colmo no queria darme su nombre y mucho menos hacer que la supervisora venga a darme explicaciones, porque segun ella estaba almorzando (a las 11am?), insisto que la empresa deberia cambiar sus procedimientos y por supuesto tambien a su personal, que es grosero y malcriado con el cliente, cuando somos los clientes la razon de ser de la empresa. QUALITY PRODUCTOS APESTAN..."
BBVA-Banco Continental,BBVA-Banco Continental,2008-03-17,"Lima,Lima","Dinero y Finanzas,Bancos",6027," Termine mi doctorado en economia en USA y estuve trabajando de profesor visitante en alla. Cuando radicaba en USA, recibi una llamada del Sr Hugo Perea (Gerente de Estudios Economicos del Banco Continental). El Sr Perea me ofrecia un trabajo en el banco como subgrente, la oferta era ""indefinida"" en un ambiente volatil como el no academico. Pague caro el riesgo por incorporarme al sector no academico, ya que mi cargo duro 6 meses. Me demore mas en venir a instalarme con mi familia desde lejos que la duracion del cargo. El hecho que a uno uno lo traigan con su familia de lejos para dejarlo en el aire en un corto periodo no es muy leal, serio o incluso etico. Habla que el Banco sigue los caprichos de un incompetente gerente que toma decisiones a la ligera sin importarle las consecuencias de sus actos. Yo tenia mis papeles en curso en USA y un Sr gerente del BBVA me trajo y me pinto mil promesas para luego dar un paso atras en un decision. Ello me ha traido problemas financieros a mi y mi familia de bebes pequeños y recien nacidos. En un pais con leyes debiles como Peru, las empresas espanolas hacen lo que quieren y destruyen las aspiraciones de profesionales capacitados que creen en su pais pero creen demasiado para dejarse estafar por las empresas espanolas. Agradezco como siempre su atencion y quedo de ustedes. J. B. Guillen"
"Bocus Eventos, no los contraten",Bocus Eventos,2008-03-16,"Lima,Lima","Servicios,Bodas, Eventos y Servicios relacionados",4217," Cuando decidimos hacer una recepcion para nuestra boda, pedimos varias cotizaciones y lamentablemente, optamos por contratar los servicios de Bocus Eventos. No se imaginan lo mal que trabajan. Son inpuntuales, estaban decorando la capilla cuando ya los invitados habian llegado. La comida fue de pesima calidad y los piqueos que dijeron serian de 3 tipos, nunca los probamos porque solo pasaron una de clase. Ademas, las fotos y el video tuvimos que desecharlas porque la calidad era muy mala. Tuvimos que contratar a otro fotografo y volver a vestirnos con nuestros trajes, asi como gastar en maquillaje y peinado para poder tener fotos bonitas. Lamentablemente no pudimos arreglar el problema del video.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_3',124,'0','0'])); La dueña me dio como referencia de novias a las que les habia brindado el servicio de catering varios nombres y tiempo despues descubri que una de las famosas novias era su suegra. Imaginense, es decir, que sus referencias son falsas. A eso le llamo ESTAFAR con PREMEDITACION."
Atento explotación de usuarios,Atento,2008-09-03,"Lima,Lima","Telecomunicaciones & IT,TV Cable o Satelital",6647," Soy una trabajadora de Atento y no estoy conforme con el servicio que brindamos ya que nos obligan a mentir a los usuarios que llaman para reclamar algun problema con su servicio , la empresa encargada de este servico de cable magico satelital es Atento una empresa que capacita al personal a mentir es por eso que tiene multiples llamadas , claro porque nunca brindan solucion al usuario, ademas de tratarnos como maquinas estos explotadores nos obligan a muchas cosas mas , solo les pido por favor usuarios de cable magico satelital cuando llamen al 080011900 soliciten supervision no sean atendidos por los asesores ya que ellos no les brindan la solucion solo los pasean , nosotros no tenemos la culpa Sres ellos nos obligan a decir esas cosas ya que nos monitorean y si no decimos lo que ellos quieren nos botan...me despido un poco fastidiada por esta situacion y ojala esto se haga mas publico ayudenos a ayudar Sr presidente ayudenos."
Metro estafa con las cuotas mensuales,Supermercado Metro,2008-07-03,"Lima,Lima","Tiendas y Comercio,Supermercados",11890," Estimados amigos... Hace una semana mi señora madre fue ver su estado de cuenta en supermercados metro, pues estos estafadores tienen una tarjeta de credito llamada metroplazos, grande fue su sorpresa cuando le dijeron que tenía una deuda de 180 nuevos soles (el equivalente a 70 dolares USA)... mi madre encontró los vouchers de los pagos, pero simpemente le dijeron que la deuda estaba allí en el sistema y que igual tenái que cancelarla... sólo le quedaba pagarlo pues estos estafadores agrandan la deuda y se valen de estás artimañas para adeudar a la gente y despues embargarles sus cosas. ¿A quien quejarse? ¿a Indecopi? No lo creo, Indecopi puede emitir un fallo favorable al cliente pero estos estafadores tinen gente en el poder judicial y siempre salen ganado. no compren en metro... y si lo hacen no lo hagan a credito... serÁn estafados Saludos desde Lima"
"Claro, bloqueo de celulares",Claro,2008-02-03,"Cusco,Cusco","Telecomunicaciones & IT,Telefonía móvil",12150," Hola, le cuento un caso resuelto con mucha incomodidad y malos ratos previos. Resulta que hace poco mas de un año quice renovar mi celular viejo que adquiri cuando Claro aun era TIM, pero porsupuesto esa opcion de ""renovar equipo"" no existe, al menos NO con la comodidad de las ofertas que se ofrece a los nuevos clientes, asi que no me quedo otra opcion que adquirir una linea y equipo nuevos. El celular lo compre en noviembre del 2006 y ahi empezaron mis problemas, pues yo queria comprar un equipo de esos con tapita y que sea economico pero en el catalogo no habian muchas opciones pero como era ceracana la fecha de navidad salio un promocion ""Mi primer Claro"" que eran celulares orientados a los niños, pues entre los ofertados habia un celular que se ajustaba a mis gustos, era un motorola v191, que venia con unas etiquetas que al removerlas quedaba un celular bastante elegante justo como lo que queria. Pues a los 3 dias de haberlo comprado note que en la pantalla habia una franja que giraba y eso obviamente no es normal, asi que me dirigi al dpto de atencion al cliente y muy amablemente accedieron a cambiarme el equipo por otro nuevo (esto es politica de la empresa que vale por los 7 dias posteriores a la compra), en ese momento dije ""que buen servicio que da Claro"" me fui contento con el celular nuevo, pero a los dias note otro problema, al usar el telefono se oia un zumbido bastante molesto en el parlante, era un zumbido que no me dejaba conversar por que me taladraba el oido, asi que nuevamente a servicio al cliente, entro en rebicion y paso los 7 dias de plazo para cambiar el equipo defectuoso con otro, asi que se vencio la oportunidad de que m puderan cambiar el celular por otro, y la respuesta era que si el celular tenia algun defecto solo podian repararlo, a loq ue manifeste mi molestia y les dije ""como es posoble que vendan esos equipos defectuosos, bajo"", pero todo empezo a tener sentido, con razon la promocion ""mi primer Claro para niÑos"", los niños normalmente no notan esos defetos y los padres probablemente echan la culpa a sus propios hijos de los defectos que podria presentar el celular. Pero ese es solo uno de los probelmas que tuve. Juntamente con esto tuve problemas con el obono del credito de llamadas que venia de oferta (el valor del equipo por 3 meses con recarga previa de 30 soles), al mes sigueinte de mi compra el equipo bajo de precio y el obono de la oferta me lo daban a ese valor, osea yo compre con 360 soles al mes siguiente el cel costaba 300 y a mi solo me abonaban 300 y no los 360 de l oferta. Esto me causo incomodidad por que era molesto tener que llamar mil veces para reclamar una oferta y por el hecho de ser una oferta atencion al cleinte en linea nunca me trato bien, total ya era un cliente y ya habia desembolsado el dinero. A consecuencia de esto quice cambiarme de linea y migrar a movistar, pero los celulares tanto Claro y MOVISTAR los venden bloqueados para solo puedas utilizar el chip que ellos proveen, PERO en adjunto al chip que te hacen entrega en Claro te entregan una resolusion de OSIPTEL organismo regulador de telefonia en PERU el cual en una de sus clausulas dice ""El proveedor de equipos celulares de puede ni debe vender equipos terminales que limiten las opciones del cliente de poder cambiar de proveedor de seervicio en el momento que desee"" vale decir no pueden vender lo equipos bloqueados. esta norma es del año 2003 y evidentemente como yo compre en noviembre del 2006 esta norma se aplica a mi compra, por lo que fui a atencion al cliente a que me desbloqueen el equipo a lo que me respondieron que debe de transcurrir como minimo 12 meses para hacer ese desbloqueo, o lo que le restregue por la cara el Reglamento que ellos mismo hacen entrega al cliente al moento de hacer una compra, a lo que l empleado de Claro mostro su asombro y textualmente me respondio ""No tenia conocimiento de dicha ley"" y me pido le prestara mi reglamento para sacarle una fotocopia, porsupuesto accedi en el acto y al devolverme la copia le pregunte ""Sabe de donde saque el reglamento"", respondio ""de donde señor"" y le dije ""pues del sobre donde USTEDES entregan los Claro CHIP"" con una sonrisa sarcastica porsupuesto, quede de llamarme a mi telefono fijo a penas tuviese respuesta de su jefe de area, espere sentado hasta que un dia me dijeron habia salido otra ley del 2007 la cual decia que las empresas operadoras podian bloquear los equipos por un plazo no mayor a 12 meses por una cuestios de valor de compra sudsidiado, pero eso no me afectaba por que la ley salio despues de que yo haya comprado.eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_2',124,'0','0'])); Asi que hable con el mismo jefe de atencion al cliente y me quizo meter un rollo y me saco esa ley a lo que le dije ""Seños esa ly no me tiene que afectar por la la ley en ninguna parte del planeta de RETROACTIVA"" osea no se aplica para atras. Pero este hombre entrenado por la gente de Claro pretendio verme la cara penso que estaba hablando co un niño o con un ignorante, pero despues de una larga discucion accedio a desbloqarme el equipo Claro que no fue en el acto, tardaron mas o menos un mes en darme el codigo, mientras tanto compre un Celular de MOVISTAR y empezo otra odisea que algun dia les contaré. Ahora cuento con ambos equipos (Movistar plan contrato y Claro prepago) y haciendo una comparacion del servicio, uno es peor que el otro, en pocas palabras ambas empresas hacen lo que le viene en gana con el pobre usuario, nunca tenemos la razon y una vez estamos con el contrato firmado o el dinero ya salio de nuestros bolsillos para entrar en los suyos nada importa. Les cuento este caso para que no se dejn sorprender con estas empresas que mas alla de brindar un servicio lucran con nuestras necesidades y nos dan molestias malos ratos, malos tratos y demas. En latinoamerica y Perú en especial existen leyes y estas empresas muchas veces se aprovechan del hecho que la gente no lee la letra pequeña o simplemente no se documenta a la hora de adquirir un servicio. Saludos desde Perú."
"Técnicas Americanas de Estudio asesoría, por favor",Técnicas Americanas de Estudio,2008-02-27,"Lima,Lima","Educación y Formación,Cursos",8032," Muy buenos días Srs., deseo hacer la siguiente consulta: Hoy concerté una cita con un asesor de la empresa Técnicas Americanas de Estudio que se dedica a dar clases para lectura veloz, bueno me explicaron como funciona el metodo de enseñanza y al ultimo me dijeron que costaba algo de $1600, a lo cual dije que no contaba con el dinero, entonces la asesora me dijo que habia facilidades de 12 meses para cancelar el monto, claro si yo le daba una parte de una cuota inicial que me dijo que era S/.450, entonces acepto recibirme S/.100, y me hizo firmar unos documentos que me comprometian a pagar el resto de la cuota inicial para el dia 2 de marzo del presente año, y unos documentos de inscripciÓn e incluso tomaron datos de una tarjeta de credito que tengo, despues me dijo que mañana mismo vendran a entregarme un maletín con los libros que necesito para llevar el curso. Bueno ahora yo he conversado con mi esposa, y hemos tenido un imprevisto economico que nos obliga a renunciar al curso, y ademas hemos entrado a internet y hemos visto la cantidad de personas muy descontentas con el metodo y trato de esta empresa con solo buscar en la página GOOGLE la palabra:""tecnicas americanas lectura veloz"". Entonces decidimos llamar a la empresa y nos dijeron que ya no hay marcha atras, que yo ya me comprometí y firmé los pagarés, y que debo pagar igualmente. Yo en realidad ya no deseo llevar ese curso, y el dia de mañana que vengan a entregarme ese maletin pienso decirle al Sr. que lo retorne a la empresa. Existe alguna posibilidad que nos hagan problema?, yo ya me resigné a perder los S/.100 que di de adelanto en vez de perder los $1600, ...mi esposa y yo estamos muy preocupados ya que tenemos dos niños y hemos adquirido una casa el año pasado y la verdad que tenemos miedo de perderla por estos señores algún día en caso que nos pongan altas tasas de INTERES.....¿es eso posible? ¿cómo puedo hacer para anular completamente todo pacto que haya firmado con esa empresa, ya que no he recibido ni pienso recibir el producto?... muchas gracias por sus respuestas.  Wilfredo"
Saco Oliveros es un gran fraude,Colegio Saco Oliveros,2008-02-27,"Lima,Lima","Educación y Formación,Colegios, Escuelas y Academias",10592," saco oliveros no es un buen colegio¡ Lo que yo digo es algo muy real por haber sido yo alumno durante buen tiempo alli. y si, es cierto, sobre las quejas anteriores los alumnos destacados los sacan de un salon separado llamado la seleccion, olimpiadas, circulo. a esto se suma la pesima calidad de alumnos que reciben durante el año escolar. y lo empeora con los profesores ineptos(en su mayoria) que trabajan alli. cabe decir que estos profesores hasta se dejan faltar el respeto por los alumnos. además, la razon por la que estos alumnos estan en la seleccion es porque (ademas de ser chicos muy talentosos) es que en un salon lleno de alumnos de pesima calidad donde el personal se le arrodilla porque sus padres son los que aportan lo economicamente a estos alumnos se les perderia , sea porque les toman de punto o porque quieren que se relajen o en fin terminan siendo absorbidos por estos de malos hábitos. Lo que yo digo esta demostrado . Y eso si si ud SR. lector quiere matricular a su hijo aqui tiene que pensarlo dos veces. Yo habiendo cumplido mi queja me retiro... Flavia Barandiarán"
Comida para perros y mascotas en general: son basura,Nestlé,2008-02-19,"Lima,Lima","Productos,Alimentos y Bebidas",10495," Había escuchado antes que la comida para perros la hacían de basura, es lo que me dijo hace años un adiestrador y por esa razón no le daban de comer al perro que el entrenaba, Ricocan u otras marcas. Ha ido creciendo la popularidad de estos productos que ya casi nadie le da de comer a sus perros comida de casa y unos pocos les dan huesos. Hace poco un perro de una familiar murió, y el veterinario dijo que la causa fue la comida hecha para perros. Leyendo los ingredientes (algunos no muy claros de entender) efectivamente dice hecho con subproductos de pollo, grasa animal y/o vegetal, preservantes, etc. Esto no es solamente en la comida seca sino también en la comida en trozos que viene en lata. La verdad huele mal la comida para perros cuando uno lo huele no huele a comida como ellos dicen balanceada y casera. Aparte de eso, hay una frase con letras grandes, solo para consumo animal no apto para humanos, con lo cual quiere decir de alguna forma que esa comida es de lo peor, porque sino ¿Qué problema habría de comer la comida un humano? Si ellos dicen que es un alimento balanceado y casero o hasta mejor que la comida casera. Tenemos que tomar a reflexión sobre las graves consecuencias de darle de comer esta clase de ¨comidas¨ y no porque sean los perros unos animales que dependen del hombre y tiene que hacer lo el diga o quiera se le de una basura como alimento. Invoco un llamado de conciencia a hacer un boicot y no comprar comida basura que a la larga hace daño a nuestras mascotas a que se les de una comida decente, natural porque nos estamos volviendo seres bestias. Les recomiendo que se den una vuelta por la web para que entiendan mejor como hacen esta comida basura para perros y artículos relacionados al tema."
Telefónica Móviles abusos,Telefónica Móviles,2008-02-19,"Chiclayo,Lambayeque","Telecomunicaciones & IT,Telefonía móvil",6090," Por intermedio de mi amigo Juan Diego escribo esto porque gracias a el me entere de esta pagina para poder publicar mi queja. Soy una promotora de ventas de una prestigiosa y conocida agencia autorizada de telefonía móviles en la ciudad de Chiclayo, lo que te quería contar para el conocimiento de todo el publico en general y espero que las autoridades correspondientes tomen cartas en el asunto sobre esto y es lo siguiente: en la empresa que trabajo, no estoy en planillas, ni asegura ni nada por el estilo, solo giramos recibos por honorarios comenzando desde allí están que van contra nuestros derechos de pertenecer a una planilla y estar asegurados, y esto no solo pasa en la empresa en donde yo laboro si no en casi todas las agencias de Chiclayo, yo ya tengo 4 años trabajando para la telefónica móviles, aparte nuestros jefes tanto en la agencia como en la misma telefónica que es la central que esta ubicada en la calle san José cuadra 1 esquina con eufenio lora y lora nos han dicho siempre que si nosotros los vendedores aprobamos un contrato para que un cliente obtenga un celular postpago (línea abierta o controlada), si el cliente no paga la deuda el vendedor tiene que asumir la deuda del cliente, en verdad estoy arta por casi 4 años le he pagado la deuda de los clientes morosos dime tu que culpa tengo yo que el cliente se endeude estoy segura que no existe ninguna cláusula que indique que los vendedores debemos asumir la deuda de los clientes esto lo han inventado los jefes de agencia en complicidad con los jefes de la oficina principal de telefónica móviles los cuales son el gestor de agencias y el jefe de cobranzas, para eso la telefónica cuenta con un sector de cobranzas y una colaboradora llamada RJ - Abogados y que ellos se encarguen de cobrarles, por ultimo yo nunca firme un contrato con nadie para seguir estas reglas absurdas, otra cosa yo estoy parametrizada por telefónica móviles es decir cada vez que se realiza una venta MIA se activa con mi código que viene siendo mi DNI yo nunca firme un contrato de parametrizacion para que mi DNI este en el sistema de telefónica, aparte no estoy en planillas y me cargan las deudas de los clientes, antes tenia temor de hacer publico esto, pero ahora ya no… Espero que todos los que lean este correo y sean vendedores de Moví Star que hayan sido afectados por esto escriban sus experiencias para que todo el Perú se entere de la verdad…"
"Otra queja de ABACO, no pagan a sus profesores",ABACO,2008-02-18,"Lima,Lima","Educación y Formación,Institutos",6553," Hago pública esta carta enviada al Gerente General del instituto ABACO (Wilfredo Lay), quien es el responsable de la estafa a profesores y alumnos que alguna vez tuvieron la mala suerte de pisar el corrupto instituto ABACO Dice así: Sr. Lay, no reclame Ud. HOMBRIA para reclamar injusticias, demuestre SU HOMBRIA para cancelar sus deudas. No diga que da Ud. la cara, pues cuando se trata de hablar con Ud. está ocupado, no se encuentra, o simplemente no atiende. No queremos que se nos pague lo que ""creemos que valemos"", simplemente queremos que nos paguen lo que nos deben HACE UN AÑO, es tan difícil de entender ésto. eval(ez_write_tag([[300,250],'apestan_com-medrectangle-4','ezslot_1',124,'0','0'])); En todo caso, no puede olvidar que ocupa un cargo de GERENTE, y que debe demostrar su capacidad de Gerencia, NO contestando con el HIGADO, diciendo que si no estamos de acuerdo, nos vayamos a otro lado, esa es una BRAVUCONADA, digna de cualquier PATÁN. Es decepcionante que en cada Reunión que se convoca se trate, en primer lugar de una crítica al personal docente, sobre la deserción del alumnado, lo mismo que se ha tratado en todas las reuniones efectuadas para tal fin, y sin ningún resultado. La deserción del 50% en el Primer Ciclo de Computación es una realidad que afecta a todos los Institutos, si no lo quieren aceptar, no conocen la realidad educativa en este nivel. Hace más de UN AÑO que Ábaco obtuvo la REVALIDACIÓN ¿Qué se ha logrado desde entonces? ¿Por qué Institutos que no la tienen continúan matriculando el triple de alumnos que nosotros? ¿Qué alumnos vamos ha mantener si son incapaces de matricularlos? ¿Tenemos un Gerente de Marketing capaz o es otro inútil más como usted? ¿Cómo es posible tener salones con 6, 7 ú 8 alumnos? Los alumnos no caen del cielo, hay que buscarlos. Antes de rebuscar las fallas en la plana docente, deben criticar los ENORMES ERRORES ADMINISTRATIVOS. Se botó la plata en mantener tercamente un local deficitario como fue el de Zárate, que nunca tuvo alumnos, en cantidad siquiera mínima, y fue a partir de entonces que se atrasaron en los pagos. En Noviembre del 2003, cancelaron sólamente una quincena, porque se estaba implementando dicho local. En Enero y Febrero de los años 2004, 2005 y 2006, sólamente pagaron una sola quincena en cada mes. Las boletas de las quincenas de Abril y Mayo del 2005, de las que sólamente han pagado la primera, ya las presentaron a la SUNAT, aparecen en el resumen que ofrece la SUNAT a traves del SOL, ¿como pueden declarar que ya las CANCELARON?. Luego de 5 años como Gerente de ABACO, ha logrado:eval(ez_write_tag([[580,400],'apestan_com-medrectangle-3','ezslot_16',172,'0','0'])); Disminuirnos nuestro costo hora. Primero al cambiar la hora académica de 50 a 45 minutos, aduciendo una reducción proporcional. Pero luego volvieron a colocar la hora de 50 minutos porque el Ministerio no lo permitía, pero el costo se quedo disminuído (Año 2002). Darnos unos Bono Educativos, al reverso de los cuales decía que en Enero nos iban a restituir nuestro costo original.... y NADA. Nuestros Laboratorios están equipados con potentes máquina de última generación......PENTIUM II. Sólo hay UN LABORATORIO con Pentium IV en los locales de Los Olivos y San Miguel. Nos adeudan una quincena de Abril, dos de Mayo, dos de Junio, dos de Julio del 2005, y ahora una de Marzo, dos de Abril y una de Mayo del 2006. Son 11 quincenas, en mi caso equivalen aproximadamente a S/. 4000. ¿Cómo quiere que sigamos trabajando como si todo fuera nuestra culpa? He tenido que refinanciar mi deuda con el Banco, porque no pude pagar en su momento, ya que Uds. no pagaban nuestras horas trabajadas. Debo asumir Intereses, Moras y Multas, y ahora que se vuelven a atrasar, debo asumir nuevas moras. Finalmente, luego de 5 años que llevar ABACO a la quiebra, es Ud. Sr. LAY quien debería renunciar y pedir perdón por su ineficiente labor. Pero estoy segura no lo hará, porque ¿dónde irá a trabajar?, ¿Qué empresa contratará a un incapaz como Ud.? Jorge Moisés Pérez Montenegro"
"Gobierno Provincial de Chiclayo, cobros excesivos‏",Gobierno Provincial de Chiclayo,2008-02-18,"Chiclayo,Lambayeque","Gobierno y Política,Autoridades Servidores Públicos",3377," Este Gobierno está haciendo cobros en exceso y más que eso, lo considero ilegal y abusivo, ya que en años anteriores se ha estado pagando lo usual, pero a partir del año 2007 por pagos de Carnet de Salud y otros casi se ha duplicado; y la Licencia De funcionamiento, que es un pago único, cada año hay que presentar una Declaración Jurada de Permanencia en el negocio, y por ello hay que pagar, bueno hasta el año pasado era S/. 2.50, ahora que tengo que ratificarla, cuánto pagaré; y así de igual forma lo referente al Certificado de Salubridad, que era de S/. 61.00, cuánto será ahora.  Solamente como referencia, el pago por el Carnet de Salud era de S/. 15.00, a partir del 2007 se está pagando S/. 24.00, es decir, S/. 9.00 de más; que en términos porcentuales es del 60%. Ahora si se pasa de la fecha de vencimiento por un lapso de 15 días, le cobran mora, alrededor de S/. 27.20, que en términos porcentual es de 113.33% de más. Es decir, tendrá que pagar un total s/. 51.20.  Estos comentarios los hago porque tengo familiares y amistades que tienen sus pequeños negocios, como bodegas y otros y los han sorprendido a la hora de efectuar sus pagos. Creo, que debe tomarse medidas correctivas a estos cobros indebidos. De antemano muchas gracias por su atencion y su ayuda espero tener respuestas suyas."
Cancelación de tarjeta y compras realizadas,Tottus Supermercado,2008-02-16,"Los Olivos,Lima","Tiendas y Comercio,Supermercados",9664," Un día, harto de las altas tasas de intereses que aplican la corporación Falabella. Decidí cancelar por completo la tarjeta CMR que tenía en mi poder. Así que fuí a Tottus, cancelé mi deuda por 300 soles que tenía. Posteriormente, minutos después, me acerqué al Banco Falabella (dentro del supermercado), esperé media hora para ser atendido, por una inepta, quien me dijo: ""Señor, si bien debe 300 soles. Lamentablemente, usted no puede cancelar su tarjeta porque aun no se ha ingresado su pago realizado (300 soles) al sistema, asi que vuelva al día siguiente"". Algo colérico le respondí: ""Qué prueba más necesita, le entrego mi recibo emitido por la cajera. Necesito cancelar mi tarjeta"" Ella respondió: ""No puedo realizar nada al respecto"". Debido al tiempo perdido, decidí no seguir con ese problema. Unos días después. Nuevamente, me acerqué, esta vez a Tottus para cancelar mi tarjeta y al parecer todo estaba ""bien"". El señor que me atendió me preguntó: ""¿Por qué motivo decide cancelar su tarjeta"". Le respondí: ""no te puedo dar información privada, dedícase a cancelar la tarjeta"". Luego, me pregunta: ""¿está seguro que desea cancelar su tarjeta?"". Si, respondí. Por último, me hace firmar un documento que rehúso la obtención de volver a adquirir un servicio con la corporación falabella y firmo un documento de cancelación de tarjeta. Finalmente, estaba contento. Dos días después, me llama un ""salvaje"" de la corporación falabella, promocionando sus tarjetas... ""no entienden la palabra... no"""
"Sun Vacation Club, no se dejen estafar",Sun Vacation Club,2008-12-02,"Arequipa,Arequipa","Hotelería y alojamiento,Tiempos Compartidos",7054," Sun Vacation Club, me vendio un paquete prepago de hoteles 5 estrellas a precios de 2 estrellas es decir menos de 40 dolares, me aseguraron que era una ganga, me presionaron para que firme, y cuando lo hice me dijeron que si me arrepentia, se quedaban con mi dinero, que retiraron de mi tarjeta de credito, despues de firmar, me entere que todo lo que me dijeron era mentira y que en realidad iba a pagar mas de 100 dolares por cada noche de estadia, o mas, al mismo precio que en un hotel 5 estrellas, y lo peor es que no tienen hoteles donde quieres viajar, y la reserva es con mucha anticipacion, les he presentado una demanda, pero espero que me retornen mi dinero, por engañar a su clientela, para saber mas sobre esta empresa y como estafa a la gente visiten esta pagina: Link Espero que con esto mas personas puedan liberarse de estos estafadores, recuerden lo que dijo Heinrich: ""Todo delito que no se convierte en escándalo no existe para la sociedad""."
Banco del Trabajo malos recuerdos,Banco del Trabajo,2008-12-02,"Lima,Lima","Dinero y Finanzas,Bancos",3054," cuando mi hijo estudiaba en la universidad, tenìa muchas veces que cvomprar de METRO , por que habian dias que no habian para la comida y tenian que alimentarse un dia tuve que refinanciar la deuda y como me pesè, como me pesè, era un mointon de plata y para mi era casi imposible pagar, pero con mucho sacrificio llegue a pagar esa deuda ,les cuesto esto con lmucha tristeza, por que los intereses son altos y la deuda interminable, lo que mequedò de experiencia es mejor no tener ninguna tarjeta, cuando no hay dinero mejor no comprar, es horrible y muy deprimente vivir asi, yo no dormia , me pasaba la noche caminando , sin saber que hacer etc,,..... no sean usureros eso tiene un mal fin"
Le compro a Telefonica y me amenazan,Telefónica del Perú,2008-12-02,"Surco,Lima","Telecomunicaciones & IT,Internet ISP's",4316," Luego de esperar semanas para que instalen un sistema Trio de Telefonica, me llega una carta donde me amenazan con penalizarme por no haberme encontrado en mi domicilio el día de la instalación, luego de que les rogué que coordinaramos el día de la instalación. Telefonica NO TIENE un sistema de coordinación para las instalaciones como TODA empresa de telecomunicaciones normal. Lamentablemente vivimos en un monopolio. Ojala estas experiencias sirvan para futuros contratos que no sean tan permisivos con actitudes matonescas con la población. Saludos cordiales, Jose"
